Study,Site,Soil C (mg/cm3)*,Soil N (mg/cm3)*,Microbial biomass C (mg/cm3),Microbial biomass N (mg/cm3),SOC,SON,MBC,MBN,MBC as % of soil C,MBN as % of soil N,Soil C:N,Inorganic nitrogen (ug/cm3),Respiration (ug C/cm3*hr),Net N mineralization (ug/cm3*hr)
Cleveland and Liptzin,Other,NA,NA,NA,0.0819,NA,NA,NA,0.00546,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Other,NA,NA,NA,0.0567,NA,NA,NA,0.00378,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Other,NA,NA,NA,0.0357,NA,NA,NA,0.00238,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Other,NA,NA,NA,0.0651,NA,NA,NA,0.00434,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Other,NA,NA,NA,0.1281,NA,NA,NA,0.00854,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,NA,NA,0.4698,0.0609,NA,NA,0.03132,0.00406,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,NA,NA,0.549,0.0672,NA,NA,0.0366,0.00448,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,NA,NA,0.774,0.0945,NA,NA,0.0516,0.0063,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,NA,NA,0.675,0.0945,NA,NA,0.045,0.0063,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,NA,NA,1.2726,0.1407,NA,NA,0.08484,0.00938,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,NA,NA,0.9162,0.1134,NA,NA,0.06108,0.00756,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Other,170.4744,6.426,12.0006,1.4595,11.36496,0.4284,0.80004,0.0973,7.039532035,22.7124183,26.52885154,NA,NA,NA
Cleveland and Liptzin,Other,25.2504,0.9996,13.8744,1.7199,1.68336,0.06664,0.92496,0.11466,54.94724836,172.0588235,25.2605042,NA,NA,NA
Cleveland and Liptzin,Other,141.3756,4.5507,27.1494,2.9148,9.42504,0.30338,1.80996,0.19432,19.20373813,64.05168436,31.06678093,NA,NA,NA
Cleveland and Liptzin,Other,321.4746,16.4241,6.8256,0.5019,21.43164,1.09494,0.45504,0.03346,2.123215955,3.055875208,19.57334648,NA,NA,NA
Cleveland and Liptzin,Grassland,48.0006,4.2609,1.296,0.2121,3.20004,0.28406,0.0864,0.01414,2.69996625,4.977821587,11.26536647,NA,NA,NA
Cleveland and Liptzin,Grassland,39.0006,3.7044,1.0674,0.1449,2.60004,0.24696,0.07116,0.00966,2.736880971,3.911564626,10.5281827,NA,NA,NA
Cleveland and Liptzin,Grassland,22.5,3.57,1.1466,0.1071,1.5,0.238,0.07644,0.00714,5.096,3,6.302521008,NA,NA,NA
Cleveland and Liptzin,Forest,27,1.9509,1.1646,0.1764,1.8,0.13006,0.07764,0.01176,4.313333333,9.041980624,13.83976626,NA,NA,NA
Cleveland and Liptzin,Forest,44.6994,2.8497,1.314,0.2079,2.97996,0.18998,0.0876,0.01386,2.939636774,7.29550479,15.68565112,NA,NA,NA
Cleveland and Liptzin,Forest,33.1506,1.9509,1.0566,0.1533,2.21004,0.13006,0.07044,0.01022,3.187272629,7.857911733,16.99246502,NA,NA,NA
Cleveland and Liptzin,Forest,7.3494,0.4494,0.5454,0.0777,0.48996,0.02996,0.03636,0.00518,7.42101396,17.28971963,16.35380507,NA,NA,NA
Cleveland and Liptzin,Other,23.9994,1.6506,0.801,0.1302,1.59996,0.11004,0.0534,0.00868,3.33758344,7.888040712,14.53980371,NA,NA,NA
Cleveland and Liptzin,Other,14.9994,1.6506,0.5922,0.0525,0.99996,0.11004,0.03948,0.0035,3.948157926,3.180661578,9.087241003,NA,NA,NA
Cleveland and Liptzin,Other,18,1.6359,0.5418,0.0546,1.2,0.10906,0.03612,0.00364,3.01,3.337612323,11.00311755,NA,NA,NA
Cleveland and Liptzin,Forest,46.4994,4.6494,1.1664,0.0966,3.09996,0.30996,0.07776,0.00644,2.508419463,2.077687444,10.00116144,NA,NA,NA
Cleveland and Liptzin,Other,616.5,NA,45,3.7506,41.1,NA,3,0.25004,7.299270073,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,90,3.15,0.5274,0.0924,6,0.21,0.03516,0.00616,0.586,2.933333333,28.57142857,NA,NA,NA
Cleveland and Liptzin,Other,108,6.9006,0.513,0.1491,7.2,0.46004,0.0342,0.00994,0.475,2.16068168,15.65081297,NA,NA,NA
Cleveland and Liptzin,Grassland,13.5,1.8459,0.4068,NA,0.9,0.12306,0.02712,NA,3.013333333,NA,7.313505607,NA,NA,NA
Cleveland and Liptzin,Other,23.9994,3.255,0.8784,NA,1.59996,0.217,0.05856,NA,3.660091502,NA,7.373087558,NA,NA,NA
Cleveland and Liptzin,Forest,32.7006,3.3537,0.9144,0.0966,2.18004,0.22358,0.06096,0.00644,2.796278967,2.880400751,9.750603811,NA,NA,NA
Cleveland and Liptzin,Other,18.0756,1.5981,0.5958,0.0567,1.20504,0.10654,0.03972,0.00378,3.296156144,3.547963206,11.31068143,NA,NA,NA
Cleveland and Liptzin,Forest,34.7994,4.4247,0.5598,0.0336,2.31996,0.29498,0.03732,0.00224,1.608648425,0.759373517,7.864804394,NA,NA,NA
Cleveland and Liptzin,Forest,30.6,3.5406,0.6444,0.0399,2.04,0.23604,0.04296,0.00266,2.105882353,1.126927639,8.642602949,NA,NA,NA
Cleveland and Liptzin,Other,18,1.6359,0.3204,0.0357,1.2,0.10906,0.02136,0.00238,1.78,2.182284981,11.00311755,NA,NA,NA
Cleveland and Liptzin,Other,18.5994,1.68,0.3384,0.021,1.23996,0.112,0.02256,0.0014,1.819413529,1.25,11.07107143,NA,NA,NA
Cleveland and Liptzin,Other,NA,NA,11.1006,0.5376,NA,NA,0.74004,0.03584,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Other,NA,NA,NA,0.525,NA,NA,NA,0.035,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Other,NA,NA,NA,0.1743,NA,NA,NA,0.01162,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Other,NA,NA,NA,0.7455,NA,NA,NA,0.0497,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Grassland,58.5,4.5003,0.6174,0.0861,3.9,0.30002,0.04116,0.00574,1.055384615,1.913205786,12.99913339,NA,NA,NA
Cleveland and Liptzin,Grassland,46.4994,4.5003,0.7812,0.1575,3.09996,0.30002,0.05208,0.0105,1.680021678,3.499766682,10.33251117,NA,NA,NA
Cleveland and Liptzin,Grassland,70.5006,7.4991,1.0476,0.1932,4.70004,0.49994,0.06984,0.01288,1.4859448,2.576309157,9.401208145,NA,NA,NA
Cleveland and Liptzin,Grassland,46.4994,4.5003,1.0854,0.1785,3.09996,0.30002,0.07236,0.0119,2.334223667,3.96640224,10.33251117,NA,NA,NA
Cleveland and Liptzin,Grassland,49.5,5.9997,1.2276,0.2079,3.3,0.39998,0.08184,0.01386,2.48,3.465173259,8.250412521,NA,NA,NA
Cleveland and Liptzin,Grassland,75.0006,7.4991,1.278,0.0903,5.00004,0.49994,0.0852,0.00602,1.703986368,1.204144497,10.00128015,NA,NA,NA
Cleveland and Liptzin,Grassland,59.9994,4.5003,1.35,0.1302,3.99996,0.30002,0.09,0.00868,2.2500225,2.893140457,13.33231118,NA,NA,NA
Cleveland and Liptzin,Grassland,45,4.5003,1.3842,0.1764,3,0.30002,0.09228,0.01176,3.076,3.919738684,9.999333378,NA,NA,NA
Cleveland and Liptzin,Grassland,43.5006,5.9997,1.4112,0.1995,2.90004,0.39998,0.09408,0.0133,3.244093185,3.325166258,7.250462523,NA,NA,NA
Cleveland and Liptzin,Grassland,84.0006,9.0006,1.4472,0.2394,5.60004,0.60004,0.09648,0.01596,1.722844837,2.659822678,9.332777815,NA,NA,NA
Cleveland and Liptzin,Grassland,66.0006,7.4991,1.5876,0.2394,4.40004,0.49994,0.10584,0.01596,2.405432678,3.192383086,8.801136136,NA,NA,NA
Cleveland and Liptzin,Grassland,90,7.4991,1.674,0.2856,6,0.49994,0.1116,0.01904,1.86,3.808457015,12.00144017,NA,NA,NA
Cleveland and Liptzin,Grassland,59.9994,5.9997,1.8306,0.294,3.99996,0.39998,0.12204,0.0196,3.05103051,4.900245012,10.00040002,NA,NA,NA
Cleveland and Liptzin,Grassland,67.5,5.9997,1.8576,0.2289,4.5,0.39998,0.12384,0.01526,2.752,3.81519076,11.25056253,NA,NA,NA
Cleveland and Liptzin,Grassland,72,7.4991,1.8648,0.3129,4.8,0.49994,0.12432,0.02086,2.59,4.1725007,9.601152138,NA,NA,NA
Cleveland and Liptzin,Grassland,68.9994,7.4991,1.872,0.2646,4.59996,0.49994,0.1248,0.01764,2.71306707,3.528423411,9.201024123,NA,NA,NA
Cleveland and Liptzin,Grassland,72,7.4991,1.9494,0.2436,4.8,0.49994,0.12996,0.01624,2.7075,3.248389807,9.601152138,NA,NA,NA
Cleveland and Liptzin,Grassland,88.5006,9.0006,2.1402,0.3675,5.90004,0.60004,0.14268,0.0245,2.41828869,4.083061129,9.832744484,NA,NA,NA
Cleveland and Liptzin,Grassland,67.5,5.9997,2.1438,0.1596,4.5,0.39998,0.14292,0.01064,3.176,2.660133007,11.25056253,NA,NA,NA
Cleveland and Liptzin,Grassland,63,5.9997,2.3292,0.2709,4.2,0.39998,0.15528,0.01806,3.697142857,4.515225761,10.50052503,NA,NA,NA
Cleveland and Liptzin,Grassland,55.4994,5.9997,2.3922,0.2541,3.69996,0.39998,0.15948,0.01694,4.310316868,4.235211761,9.250362518,NA,NA,NA
Cleveland and Liptzin,Grassland,102.0006,11.9994,2.6676,0.3969,6.80004,0.79996,0.17784,0.02646,2.615278734,3.307665383,8.500475024,NA,NA,NA
Cleveland and Liptzin,Grassland,70.5006,7.4991,2.7324,0.3801,4.70004,0.49994,0.18216,0.02534,3.875711696,5.068608233,9.401208145,NA,NA,NA
Cleveland and Liptzin,Grassland,72,7.4991,2.862,0.3276,4.8,0.49994,0.1908,0.02184,3.975,4.368524223,9.601152138,NA,NA,NA
Cleveland and Liptzin,Grassland,103.5,10.5,3.0564,0.3675,6.9,0.7,0.20376,0.0245,2.953043478,3.5,9.857142857,NA,NA,NA
Cleveland and Liptzin,Grassland,66.0006,7.4991,3.1212,0.3444,4.40004,0.49994,0.20808,0.02296,4.729047918,4.592551106,8.801136136,NA,NA,NA
Cleveland and Liptzin,Grassland,99,10.5,3.3354,0.3654,6.6,0.7,0.22236,0.02436,3.369090909,3.48,9.428571429,NA,NA,NA
Cleveland and Liptzin,Grassland,95.9994,10.5,3.3426,0.3402,6.39996,0.7,0.22284,0.02268,3.481896762,3.24,9.1428,NA,NA,NA
Cleveland and Liptzin,Grassland,120.0006,13.5009,5.1174,0.5187,8.00004,0.90006,0.34116,0.03458,4.264478678,3.841966091,8.888340777,NA,NA,NA
Cleveland and Liptzin,Forest,18.855,NA,0.1998,0.0504,1.257,NA,0.01332,0.00336,1.059665871,NA,NA,NA,NA,NA
Cleveland and Liptzin,Grassland,NA,NA,1.4652,0.1554,NA,NA,0.09768,0.01036,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Grassland,NA,NA,0.7632,0.1659,NA,NA,0.05088,0.01106,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,149.7006,NA,1.0134,0.1659,9.98004,NA,0.06756,0.01106,0.676951195,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,149.7006,NA,0.8244,0.1386,9.98004,NA,0.05496,0.00924,0.550699196,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,149.7006,NA,1.2384,0.2058,9.98004,NA,0.08256,0.01372,0.827251193,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,168.4494,NA,1.035,0.1176,11.22996,NA,0.069,0.00784,0.614427834,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,168.4494,NA,1.4706,0.2289,11.22996,NA,0.09804,0.01526,0.87302181,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,154.35,NA,0.8244,0.1197,10.29,NA,0.05496,0.00798,0.534110787,NA,NA,NA,NA,NA
